ticker,name,sector,industry,country,currency,market_cap,pe_trailing,pe_forward,peg_ratio,price_to_book,price_to_sales,ev_to_revenue,ev_to_ebitda,roe,roa,profit_margin,operating_margin,gross_margin,revenue_growth,earnings_growth,earnings_quarterly_growth,debt_to_equity,current_ratio,quick_ratio,free_cash_flow,total_cash,total_debt,enterprise_value,dividend_yield,payout_ratio,dividend_rate,div_yield_5y_avg,last_dividend_value,ex_dividend_date,beta,52_week_high,52_week_low,current_price,target_mean_price,recommendation_mean,number_of_analysts,short_ratio,short_pct_float,insider_pct,institution_pct,insider_cluster,insider_executive_buy,earnings_surprise_pct,avg_volume,avg_volume_10d,volume_ratio,return_1m,return_3m,return_6m,return_12m,pct_from_52w_high,volatility,rsi_14,price_vs_ma50,price_vs_ma200,macd_above_signal,bb_position,score_value,score_quality,score_momentum,score_growth,score_risk,score_size,score_dividend,score_fcf_yield,score_sentiment,score_total,company_type,rank,data_quality,piotroski_f,piotroski_label,piotroski_boost,trend_signal,trend_capped,factors_positive,confidence_pct,confidence_label,entry_signal,predicted_return,ml_rank
ALL,The Allstate Corporation,Financial Services,Insurance - Property & Casualty,United States,USD,55955586297.161865,4.810135,8.290426,2.554,1.8942589,0.82077605,0.88,4.045,0.45221,0.07521,0.17813,0.18954,0.34428,0.03,3.384,3.129,23.719,0.364,0.236,12428999680.0,5401999872.0,7491999744.0,60026589184.0,1.99,0.090299994,4.32,2.34,1.08,1772409600.0,0.207,222.22999572753906,186.25446046356996,217.3699951171875,241.5,2.16,22.0,0.01,0.0001,0.0054400004,0.85253,False,False,,1436318.0,1703600.0,0.9686224573089104,0.016365081965248107,0.05281618552013034,0.049187388622586425,,-0.021869237743720626,0.22962330740769057,56.07512546546943,0.02754423378066284,0.059330768696325364,False,0.7097933889840544,98.19139421753913,68.16183986125554,70.19431988041855,74.31342220920403,62.51584970867714,51.526032315978455,67.36474694589877,97.8305785123967,50.0,79.92795071360156,standard,1,0.875,7,STARK,8,UPPTREND,False,6,0.8571428571428571,HÖG,OK,0.005460392,18.2
EXEL,"Exelixis, Inc.",Healthcare,Biotechnology,United States,USD,12600430579.266193,16.599339,12.383343,2.56,6.570118,5.3043475,5.049,12.165,0.40987,0.22031,0.35084,0.41149,0.96444,0.1,0.436,0.319,8.758,3.258,3.01,629119360.0,777206976.0,169540992.0,11992764416.0,,0.0,,,,,0.385,51.630001068115234,33.7599983215332,50.130001068115234,49.05882,2.1,17.0,13.14,0.16239999,0.01956,1.07736,False,False,,2814247.0,3307490.0,0.701753195876988,0.12956286303767306,0.14139351452798676,0.15003443204023648,,-0.029052875633704844,0.396513885756674,67.36374727949035,0.13017407470942377,0.19537162805498753,True,0.8372722016239664,72.53692821191112,93.99226680623609,78.53512705530643,67.61388617762589,70.7010813880481,78.45601436265709,12.041884816753926,78.30578512396694,50.0,79.83640277033298,standard,2,0.875,8,STARK,8,UPPTREND,False,5,0.7142857142857143,HÖG,OK,0.027600544,74.7
AFL,Aflac Incorporated,Financial Services,Insurance - Life,United States,USD,59454525393.601074,13.349714,15.321393,1.18,1.9904236,3.2826042,3.625,11.165,0.16469,0.03088,0.25596002,0.29567,0.50049996,0.279,38.6,34.138,48.276,0.935,0.814,4923125248.0,8270000128.0,14464000000.0,65648525312.0,2.09,0.26860002,2.44,2.17,0.61,1779235200.0,0.619,118.68938801735202,95.41656017231813,116.80999755859375,111.71429,3.07143,14.0,3.86,0.0208,0.10931,0.59766,False,False,,2283544.0,2030880.0,0.8925231022484942,0.02726232080802471,0.021935558972423053,0.029955760496261696,,-0.015834528176044693,0.16676739134878155,57.929997040272184,0.0444440647311648,0.06697519874636337,True,0.8989424442212679,81.6938708932899,64.35772922904327,67.86248131539611,95.62529088788018,59.575672832841576,50.44883303411131,67.36474694589877,88.53305785123968,50.0,79.56697828776076,standard,3,0.875,8,STARK,8,UPPTREND,False,5,0.7142857142857143,HÖG,OK,0.0071780644,23.2
SU.TO,Suncor Energy Inc.,Energy,Oil & Gas Integrated,Canada,CAD,110978237791.76614,17.86882,12.722928,11.41,2.4860475,2.1732314,2.399,7.859,0.1397,0.05945,0.12394,0.20848,0.58785,0.175,0.299,0.243,32.358,1.417,0.888,6675874816.0,3271000064.0,14812000256.0,122519240704.0,2.55,0.4449,2.4,3.87,0.6,1780531200.0,0.592,95.7300033569336,46.28670303977409,93.98999786376953,97.78947,2.1,19.0,6.16,,0.00014999999,0.75216,False,False,,7106288.0,6036480.0,1.6725852706083348,0.07576965673663638,0.24219768168672884,0.5634466558502356,,-0.018176177082919076,0.2342301589178897,61.837994800246825,0.06955580568560049,0.38703607368178305,True,0.8618356351713663,81.74905238302367,62.8790795400389,91.36023916292974,68.92466983614084,65.06030900567637,37.97127468581687,67.36474694589877,80.37190082644628,50.0,79.50408224211304,standard,4,0.875,7,STARK,8,UPPTREND,False,6,0.8571428571428571,HÖG,OK,-0.035525452,1.5
OMV.VI,OMV Aktiengesellschaft,Energy,Oil & Gas Integrated,Austria,EUR,20505466982.738136,17.668541,8.691519,0.65,1.2865881,0.87712663,1.158,5.01,0.06813,0.04761,0.10343,0.15763,0.32265,-0.041,9.341,8.487,36.964,1.298,0.899,7993750016.0,5216999936.0,8009999872.0,27061766144.0,5.0,0.8567,3.15,5.78,4.4,1780876800.0,0.228,63.599998474121094,41.33979319224999,62.900001525878906,61.025,2.9375,16.0,,,0.56414,0.19374001,False,False,,431161.0,336954.0,0.1113559345785533,0.06881908507676138,0.15096065452245777,0.29583849071906343,0.45191533576216525,-0.01100624158862229,0.21131594804099088,77.1605083626657,0.05125936211776594,0.23122579496271634,True,0.9346847640417322,98.15297356437137,43.64568356306364,85.08586704775045,70.04224575176242,71.15099580557057,70.64631956912028,67.36474694589877,99.01859504132231,50.0,71.46617536156819,standard,50,1.0,6,NEUTRAL,0,UPPTREND,False,5,0.7142857142857143,HÖG,VÄNTA,0.011620313,37.5
CPRX,"Catalyst Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,USD,3815839367.907715,18.02312,9.94406,,3.7620656,6.3921404,5.13,10.014,0.24496001,0.16268,0.37075,0.49021,0.84036005,0.056,0.111,0.123,0.265,7.103,6.701,171809872.0,755859008.0,2681000.0,3062661376.0,,0.0,,,,,0.718,32.560001373291016,19.049999237060547,31.18000030517578,33.3,2.33333,5.0,4.33,0.0794,0.05573,0.88602996,False,False,,1914686.0,4001800.0,0.7117967444451322,0.20432603477165157,0.2815454337422909,0.3687444848697774,,-0.042383323400202566,0.33905612836737226,68.12142598624683,0.18501065278712625,0.34425524002396934,True,0.7473132455305646,78.57315958136189,91.21176426408115,86.21823617339312,47.64617054827866,73.4078047331796,91.92100538599641,12.041884816753926,81.40495867768594,50.0,79.31651641440139,standard,5,0.875,9,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.017305836,55.1
NBIX,"Neurocrine Biosciences, Inc.",Healthcare,Drug Manufacturers - Specialty & Generic,United States,USD,15929128122.747482,24.372307,12.468105,0.4322,4.6771574,5.1344533,4.86,18.195,0.225,0.11619,0.21551001,0.22836,0.6437,0.422,23.105,24.051,13.603,2.929,2.506,590550016.0,1316199936.0,463500000.0,15076428800.0,,0.0,,,,820195200.0,0.336,162.38999938964844,117.58999633789062,158.4199981689453,190.98705,1.44444,27.0,5.14,0.0776,0.0109,1.03204,False,False,,1142049.0,1495030.0,1.0120575199829684,0.2337044907015382,0.2763454291279237,0.07878782148142305,,-0.02444732579361164,0.3032553406868081,88.45567267257292,0.18096440773357214,0.14647559795347176,True,0.8704769331008773,54.80748062600421,77.75517791987421,78.7742899850523,97.09953049061141,75.60852896978975,75.31418312387792,12.041884816753926,64.25619834710744,50.0,79.30135047269331,standard,6,0.875,8,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,0.026140451,73.3
OPRA,Opera Limited,Communication Services,Internet Content & Information,Norway,USD,1602102524.9712067,14.198412,10.271456,,1.6366297,2.4726057,2.293,13.506,0.11966,0.057600003,0.17715,0.17308001,0.50993,0.232,0.35,0.356,0.896,1.876,1.828,128433504.0,141904000.0,8865000.0,1485558784.0,4.47,0.63490003,0.8,,0.4,1767744000.0,,20.48537403241666,11.710000038146973,17.889999389648438,26.28571,1.14286,7.0,3.34,0.0725,0.0752,0.16767,False,False,,604814.0,433920.0,0.581222554306991,0.05173422392272653,0.4450726352401453,0.3385606513335462,,-0.12669403246732158,0.5208166529519827,59.87902946700363,0.11097306927616613,0.17599211611982168,False,0.4847914620044845,79.15231555867236,60.22540856947707,77.69805680119582,75.04645966727216,59.53136780689238,95.60143626570917,67.36474694589877,90.70247933884298,50.0,79.20494686472028,standard,7,0.75,9,STARK,8,UPPTREND,False,5,0.7142857142857143,HÖG,STARK,0.033173513,80.1
AKSO.OL,Aker Solutions ASA,Energy,Oil & Gas Equipment & Services,Norway,NOK,22049051954.46128,8.598485,12.513196,,1.7999446,0.3597848,0.258,4.347,0.2491,0.0461,0.0473,0.04789,0.36308,-0.065,0.517,0.53,24.144,1.003,0.88,3299624960.0,8725000192.0,2918000128.0,15811780608.0,8.02,0.625,3.6,,8.6,1776384000.0,-0.18,45.540000915527344,21.22711549222745,45.400001525878906,41.11111,3.3,9.0,,,0.45773998,0.28186,False,False,,1092200.0,1099251.0,0.19410235966581096,0.175509288936343,0.47517345283787127,0.8116673023280276,,-0.003074207001183993,0.32105214564733664,71.54605980353682,0.18561562751190253,0.5673191285920605,True,0.9005673452686457,97.8448038632591,44.96172994012374,96.47234678624814,53.455771189794895,60.90039533231791,69.12028725314184,67.36474694589877,97.93388429752066,50.0,70.7976741442212,standard,60,0.875,6,NEUTRAL,0,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,-0.016917285,3.4
005930.KS,"Samsung Electronics Co., Ltd.",Technology,Consumer Electronics,South Korea,KRW,1619737924743000.0,,5.417367,0.1536,,4.7507105,4.311,11.915,0.18854,0.10231,0.21462,0.42718,0.47674,0.693,4.96,4.888,5.782,9.273,7.397,16767439077376.0,147378094997504.0,28138799104000.0,1674224422879232.0,0.55,0.2526,1488.0,2.3,372.0,1774828800.0,1.327,299500.0,52769.28104290448,281000.0,338297.75,1.35135,36.0,,,0.0967,0.46539003,False,False,,30215454.0,36563397.0,1.1478918987573348,0.33175355450236976,0.6983210004228804,1.8126287091599749,,-0.06176961602671116,0.530921331829294,70.84745762711864,0.3126796120739779,1.0808923468990672,True,0.7862556084271761,37.38518743730637,76.62547277929802,91.83856502242152,96.48943194482679,54.84854658054704,0.08976660682226212,67.36474694589877,27.582644628099175,50.0,77.20570221069941,standard,8,0.625,8,STARK,8,UPPTREND,False,4,0.5714285714285714,MEDEL,VÄNTA,-0.05013902,0.5
